trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.7, 'e': 0.008157644447908358}",30,9,18.58464668313194,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.007983151434446263}",25,0,-16.218153640266923,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 0.7, 'e': 0.007815381332125287}",30,15,25.510219427789217,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.007653963868022941}",20,16,8.79884666097257,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.007498555082351248}",20,6,25.790711066340062,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.007348835051847673}",25,0,35.29195518374341,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.7, 'e': 0.007204505844172542}",20,0,-12.084503359554834,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
62,False,"{'a': 0.7, 'e': 0.007065289676530649}",25,4,31.426510428145747,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.006930927255214929}",30,22,15.030048389053652,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.006801176275750971}",25,13,22.715651158410086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.0066758100658806585}",20,0,27.520438300838826,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.7, 'e': 0.006554616355826575}",20,13,16.062969946097486,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.0064373961621800755}",25,12,25.78134225148862,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.006323962773400311}",20,14,10.076169816508392,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.006214140826336992}",30,7,33.706742492132264,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.006107765464428082}",20,0,-29.446868384618664,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
71,False,"{'a': 0.7, 'e': 0.006004681569301779}",20,0,25.407374783332266,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.005904743058452736}",35,6,47.09844773154137,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.005807812242484697}",25,18,14.93277035497195,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.005713759236131878}",25,8,26.213884124086455,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.005622461417903334}",20,3,22.73523614811603,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.005533802933750098}",20,9,21.04399142395489,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.005447674240644098}",25,12,24.99935665857425,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.005363971686389512}",25,3,36.818482191828224,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.005282597122368606}",20,0,18.701757640327425,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.7, 'e': 0.0052034575462617085}",25,17,17.18841483025607,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.005126464772080319}",25,0,31.403769190771527,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.7, 'e': 0.005051535125118075}",20,8,21.539850339527447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
